ID,FundCode,HospitalTier,ProductType,ID Master,Name Master,ProductStatus,Pdf Filepath,Is Apl,BrandCode
3896,QCH,BasicPlus,Combined,1338468388,Intermediate Hospital (Basic+) excess & Young Extras,closed,,,QCH
3897,MYO,SilverPlus,Combined,7792534363,Silver Plus Advanced Hospital 750 and Base 50% Back Extras,open,,,MYO
3898,PWA,SilverPlus,Combined,1220376925,Silver Plus Advantage & Top Extras,closed,,,PWA
3899,QTU,BronzePlus,Hospital,6240364458,Union Health Bronze+ Hospital excess,open,latest-pdfs/QTU/hospital/UH Bronze+ Hospital.pdf,,QTU01
3900,NIB,SilverPlus,Hospital,3731974297,AAMI Silver Everyday Hospital Plus ,open,,,NIB02
3901,QCH,BronzePlus,Combined,2023797145,Vital Hospital (Bronze+) excess & Premium Extras,closed,,,QCH02
3902,NTF,BasicPlus,Hospital,4572354970,Mid Hospital (Basic Plus),open,pdfs/NTF01/2025/08/hospital/mid-hospital.pdf,,NTF01
3903,WFD,Gold,Hospital,2284423201,Gold Hospital,closed,pdfs/WFD/2025/08/hospital/gold-hospital.pdf,,WFD
3904,MYO,Silver,Combined,3573189589,Silver Hospital 500 and Good Set Extras,open,,,MYO
3905,QCH,SilverPlus,Combined,1385963589,Better Hospital (Silver+) excess & Pure Support Extras,closed,,,QCH
3906,NHB,Gold,Hospital,1752002806,Premium Gold Hospital,open,pdfs/NHB/2025/07/hospital/Premium-Gold-Hospital.pdf,,NHB
3907,HBF,,GeneralHealth,1389954919,Basic Extras,open,pdfs/HBF/2025/07/extras/Basic-extras.pdf,,HBF
3908,HBF,SilverPlus,Hospital,5206460587,Mid Family Silver Plus,closed,,,HBF
3909,CBH,SilverPlus,Hospital,8165164348,Everyday Silver Plus Hospital ,open,pdfs/CBH/2025/08/hospital/cbhs_everyday_silver_plus_hospital.pdf,,CBH
3910,HBF,SilverPlus,Hospital,1472437343,Silver Hospital,open,latest-pdfs/HBF/hospital/Silver-hospital.pdf,,HBF
3911,SPS,SilverPlus,Hospital,1270176014,Silver Hospital Plus ,closed,,,SPS
3912,QTU,BronzePlus,Combined,2050338145,Union Health Bronze+ Young Choice,open,,,QTU01
3913,ACA,SilverPlus,Combined,1109004086,Silver Plus Hospital and Mid Ancillary,open,,,ACA
3914,HBF,BronzePlus,Hospital,1206685438,Healthy Saver Bronze Plus $250/$500  Saver,closed,,,HBF
3915,AUF,,GeneralHealth,1795626757,Harmony Natural Therapies (E5),closed,,,AUF
3916,MBP,,GeneralHealth,1276169784,Special Extras,closed,,,MBP
3917,HBF,SilverPlus,Combined,1382593901,Prime Package Silver Plus,closed,latest-pdfs/HBF/combined/Prime-Package-Silver-Plus.pdf,,HBF
3918,QTU,BronzePlus,Hospital,1278419975,Bronze+ Hospital excess,open,pdfs/QTU/2025/07/hospital/Bronze%2B%20Hospital%20500-750.pdf,,QTU
3919,CBC,SilverPlus,Hospital,5153374074,Silver Plus Hospital ,closed,latest-pdfs/CBC/hospital/cbhscorp_silver_plus_hospital.pdf,,CBC
3920,AHB,Gold,Combined,1082494303,Ultimate Hospital Gold and Extras,closed,,,AHB
3921,CBH,Gold,Hospital,6529625166,Hospital (Gold),closed,,,CBH
3922,NTF,Gold,Hospital,1031734146,Top Hospital (Gold),open,pdfs/NTF02/2025/08/hospital/top-hospital.pdf,,NTF02
3923,RTE,BasicPlus,Hospital,1197529563,Basic Plus Public Hospital,closed,,,RTE
3924,LHM,BronzePlus,Combined,1038655239,Bronze Plus Hospital $750 & High Extras,open,,,LHM
3925,QCH,BronzePlus,Combined,1552574942,Vital Hospital (Bronze+) excess & Young Extras,open,,,QCH
3926,SPS,SilverPlus,Hospital,1774339853,Heritage Hospital Silver Plus,closed,,,SPS
3927,SPS,BronzePlus,Combined,6527385223,Bronze Hospital Plus  with Combined Growing Family Extras,open,,,SPS
3928,AUF,SilverPlus,Hospital,1159050510,Classic Hospital (Silver Plus),open,pdfs/AUF/2025/07/hospital/Classic-Hospital_TH1_TH2_TH3_768AUH_0719.pdf,,AUF
3929,HBF,,GeneralHealth,9733939189,Essentials,closed,,,HBF
3930,AHM,BasicPlus,Hospital,6027188839,lite basic plus,closed,,,AHM
3931,LHM,Gold,Combined,1815276286,Premium Hospital (Gold) & Standard Extras,closed,pdfs/LHM/2025/09/combined/gold-hospital---500-750-excess--standard-extras.pdf,,LHM
3932,RTE,Gold,Combined,7162420404,Gold Optimal Hospital $750  and Extras,open,,,RTE
3933,NTF,Gold,Hospital,1718771769,Top Hospital (Gold),open,pdfs/NTF01/2025/08/hospital/top-hospital.pdf,,NTF01
3934,AHM,Gold,Hospital,1584015548,top hospital gold,closed,,,AHM
3935,SPS,SilverPlus,Combined,1706125374,Silver Hospital Plus Lite  with Combined Best Extras,open,,,SPS
3936,HBF,,GeneralHealth,1438436752,Core Extras,open,pdfs/HBF/2025/08/extras/core-extras.pdf,,HBF
3937,AHM,BasicPlus,Hospital,1923405188,boost basic plus,closed,,,AHM
3938,CDH,SilverPlus,Combined,2124858467,SILVER+ Hospital & Premium Extras,open,,,CDH01
